pmid,outcome,labels,full_text_attributes
40532361,"['overall survival (OS)', 'progression-free survival (PFS)']","['Mortality', 'Mortality']","{'overall survival (OS)': ['65.6 months (95% CI 52.9-73.2 months) for palbociclib with fulvestrant and 61.6 months (95% CI 55.7-66.4 months) for palbociclib with letrozole', 'hazard ratio 1.01, 95% CI 0.80-1.28, P = 0.927', '61.8 months (95% CI 56.5-68.4 months)', '23.4 months', '18.7 months', '17.4 months', '20.6 months', '74.9 months versus 52.6 months (hazard ratio 0.60, 95% CI 0.47-0.76, P < 0.0001)', '55.7 months versus 68.7 months (hazard ratio 0.77, 95% CI 0.6-0.99, P = 0.045)', '51.7 months versus 70.0 months (hazard ratio 0.67, 95% CI 0.53-0.85, P = 0.001)', '46.1 months versus 65.6 months (hazard ratio 0.60, 95% CI 0.45-0.81, P = 0.001)'], 'progression-free survival (PFS)': ['29.7 months (95% CI 24.2-38.1 months) for palbociclib with fulvestrant and 34.5 months (95% CI 27.5-39.5 months) for palbociclib plus letrozole', 'hazard ratio 1.06, 95% CI 0.85-1.31, P = 0.612', '32.6 months (95% CI 27.5-38.1 months)', '7.4 months', '46.1 months', '72.2 months', '27.4 months']}"
35310783,"['cancer-specific survival (CSS)', 'nomogram']","['Mortality', 'None']","{'cancer-specific survival (CSS)': ['independent risk factors for CSS include age, sex, race, marriage, tumor size, histological grade, TNM stage, and surgery', ""The larger the tumor, the higher the patient's risk of death."", 'Survival was most increased in patients with PN, followed by RN and local tumor excision and was lowest in patients who did not undergo surgery.', 'Patients with higher TNM stage or histological grade had lower survival rates.', 'the older the patient, the greater the risk of death.', 'married patients, women, and other races had a relatively high survival rate.', '1-, 3-, and 5 years survival rates in high-risk group were 0.920 (95% CI, 0.916–0.924), 0.808 (95% CI, 0.802–0.815), and 0.732 (95% CI, 0.724–0.740), respectively.', '1-, 3-, and 5 years survival rates in the low-risk group were 0.992 (95% CI, 0.991–0.994), 0.976 (95% CI, 0.973–0.979), and 0.954 (95% CI, 0.950–0.957), respectively.', 'predict 1-, 3-, 5 years CSS'], 'nomogram': ['We constructed a nomogram to predict CSS in elderly patients with ccRCC (Figure 2). Tumor size was the most significant risk factor for in patients with CSS, as shown in the nomogram.', ""{'C-index (training cohort)': '0.81 (95% CI: 0.802–0.818)', 'C-index (validation cohort)': '0.818 (95% CI: 0.806–0.830)', 'AUC (1-year, training cohort)': '86.8 (95% CI, 85.5–88.0)', 'AUC (3-year, training cohort)': '84.8 (95% CI, 83.8–85.9)', 'AUC (5-year, training cohort)': '82.8 (95% CI, 80.8–84.8)', 'AUC (1-year, validation cohort)': '86.0 (95% CI, 84.0–88.0)', 'AUC (3-year, validation cohort)': '85.0 (95% CI, 83.5–86.4)', 'AUC (5-year, validation cohort)': '83.3 (95% CI, 81.6–85.0)'}"", 'The DCA of the nomogram was significantly superior to the traditional TNM staging system in predicting patient survival.', 'web application', 'https://liujiayan.shinyapps.io/DynNomapp/']}"
35308782,"['overall survival (OS)', 'cancer-specific survival (CSS)', 'C-index for predicting OS and CSS', 'calibration curve for nomogram prediction vs actual survival']","['Mortality', 'Mortality', 'Clinical', 'Clinical']","{'overall survival (OS)': ['age', 'marital status', 'insurance status', 'tumor site', 'tumor size', 'SEER stage', 'surgery', 'radiotherapy', 'C-indexes > AJCC stages', 'P values <0.001', '3 or 5 years'], 'cancer-specific survival (CSS)': ['C-indexes > AJCC stages', 'P values <0.001', '3 or 5 years']}"
35131133,"['Vaccine efficacy', 'Adverse-event incidence rates', 'reactogenicity events']","['Clinical', 'Adverse Event', 'Adverse Event']","{'Vaccine efficacy': ['94.4% (95% CI: 85.1, 98.5)'], 'Adverse-event incidence rates': ['COVID-19 cases observed among participants with a history of malignancy in the BNT162b2 group: 56-year-old female, 65-year-old female, 69-year-old male, and 62-year-old female; none hospitalized due to COVID-19', 'IR: 95.4 per 100 person-years exposure for BNT162b2 vaccine', 'IR: 48.3 per 100 person-years exposure for placebo recipients', 'Few participants with a history of neoplasm reported severe AEs (IR: 5.6, BNT162b2; 3.6, placebo; per 100 person-years)', 'Few participants with a history of neoplasm reported serious AEs (IR: 6.7, BNT162b2; 3.6, placebo)', 'similar IRs in the subgroup of participants with a history of neoplasm as in the overall trial population', 'similar among the subset of participants who had past or active malignant neoplasms and for the overall subgroup of participants with a history of any neoplasm'], 'reactogenicity events': ['1 participant with lymphadenopathy', '1 participant with injection-site swelling on the day of dose 1', '1 participant with abdominal discomfort, diarrhea, eye pain, fatigue, headache, and muscle weakness on the day after dose 1', '1 participant with cheilitis, dry mouth, dysgeusia, eczema, parosmia, pruritus, and maculo-papular rash on day 16 after placebo dose 1', 'injection-site pain, fatigue, and pyrexia']}"
35096758,"['Cancer-specific survival (CSS)', '1-, 3-, and 5-year CSS']","['Mortality', 'Clinical']","{'1-, 3-, and 5-year CSS': ['The C-index of the training set and the validation set were 0.713 (95% CI, 0.697–0.729) and 0.703 (95% CI, 0.678–0.729), respectively,']}"
35096742,"['cancer-specific survival (CSS)', 'nomogram risk scores']","['Mortality', 'Clinical']","{'cancer-specific survival (CSS)': ['significantly affected by age, race, marital status, tumor size, T stage, histological grade, surgery, and chemotherapy', '1-, 3-, and 5-year CSS probability', 'C-indices: training cohort 0.739 (95% CI: 0.714–0.764), validation cohort 0.756 (95% CI: 0.719–0.793)', 'nomogram-related DCA curves showed better positive net benefits in both the training and validation cohorts', '1-year CSS rates: low-risk group 95.3%, intermediate-risk group 82.0%, high-risk group 55.1%', '3-year CSS rates: low-risk group 85.9%, intermediate-risk group 51.9%, high-risk group 21.7%', '5-year CSS rates: low-risk group 74.3%, intermediate-risk group 36.9%, high-risk group 15.7%'], 'nomogram risk scores': ['constructed using independent predictors: Age, race, T stage, grade, surgery, radiotherapy, and chemotherapy', 'C-indices', 'areas under the ROC curves (AUCs): training cohort 1-year 0.773, 3-year 0.779, 5-year 0.761; validation cohort 1-year 0.770, 3-year 0.790, 5-year 0.780', 'low-risk group (total score ≤ 114.7)', 'intermediate-risk group (total score 114.7–175.1)', 'high-risk group (total score ≥175.1)']}"
35049677,"['Patient-reported quality of life (PRQOL)', 'Tolerability', 'EPIC questionnaire scores', 'Gastrointestinal toxicities', 'Genitourinary toxicities']","['Life impact', 'Adverse Event', 'Life impact', 'Adverse Event', 'Adverse Event']","{'EPIC questionnaire scores': ['100% (64/64) before treatment', '96.9% (62/64) at 1 year', 'No significant differences in change of score between arms for urinary and bowel, sexual and hormonal EPIC domains at 3, 6, 9 and 12 months', 'At 1 year, 40.0% SBRT and 46.9% CFRT patients had a >5-point reduction in EPIC bowel score compared with baseline (SBRT, p = 0.28; CFRT, p = 0.08)', '16 (53.3%) SBRT and 15 (46.9%) CFRT patients had a >2-point score reduction at 1 year compared with baseline for EPIC urinary domain (SBRT, p = 0.07; CFRT, p = 0.21)', 'In the SBRT arm, 30% of patients had a >11-point reduction in 1-year EPIC sexual score compared with baseline (p = 0.28) and 43% had a >3-point reduction in 1-year EPIC hormonal score compared with baseline (p = 0.27)', 'In the CFRT arm, 25% experienced a >11-point reduction in EPIC sexual score at 1 year (p = 0.12) and 25% had a >3-point reduction in 1-year EPIC hormonal score (p = 0.06)'], 'Gastrointestinal toxicities': ['cumulative number: 35% vs. 87%, p < 0.0001'], 'Genitourinary toxicities': ['cumulative number: 3% vs. 24%, p = 0.0426', 'At the 1-year follow-up, two grade 3 GU late toxicities, one in each arm (SBRT: non-infective cystitis [3%]; CFRT: urinary incontinence [3%]) were reported.', 'cumulative number: 64% vs. 84%, p = 0.033']}"
35040942,"['Time to local recurrence (LR)', 'Distant metastases (DMs)', 'Overall survival (OS)', 'Recurrence-free survival (RFS)', 'Health-related quality of life (HRQoL)']","['Clinical', 'Adverse Event', 'Mortality', 'Mortality', 'Life impact']","{'Overall survival (OS)': ['Median follow-up time for OS was 9.8 (interquartile range 7.7–12.6) years.', 'no statistically significant differences'], 'Health-related quality of life (HRQoL)': ['Median follow-up time for patients in the HRQoL analyses was 4.3 (interquartile range 3.1–11.6) years.', 'no statistically significant differences', '72 per cent completed EORTC QLQ-C30 questionnaire, no statistically significant differences between SRT and SRT-delay groups', ""social functioning ('moderate'), sleep disturbances ('small'), diarrhoea ('moderate')""], 'Time to local recurrence (LR)': ['no statistically significant differences'], 'Distant metastases (DMs)': ['no statistically significant differences'], 'Recurrence-free survival (RFS)': ['no statistically significant differences']}"
35011059,"['Serum fatty acids', 'Fatigue (Multidimensional Fatigue Symptom Inventory)']","['Clinical', 'Clinical']","{'Serum fatty acids': ['Increased total serum omega-3 fatty acids (including DHA and EPA) with supplementation of 3 g or 6 g fish oil daily (p < 0.01); increased total omega-6 fatty acids with supplementation of 6 g soybean oil daily (p < 0.01)', 'Decreased omega-6:omega-3 ratio with fish oil supplementation (3 g or 6 g daily) in a dose-dependent manner (p < 0.001)']}"
34974512,"['Child-reported pain intensity', 'Distress', 'Fear', 'Immersion in the distraction environment']","['Clinical', 'Life impact', 'Life impact', 'None']","{'Child-reported pain intensity': ['Most children reported no pain (value of 0)', 'not normally distributed', '65% (n=13) of participants in the VR group reported no pain during the procedure, compared with 45% (n=8) in the iPad group.'], 'Distress': ['Most children reported no distress (value of 0)', 'not normally distributed', '80% of VR participants (n=16) reported no distress, compared to 56% of iPad participants (n=10).'], 'Fear': ['Most children reported no fear (value of 0)', 'not normally distributed', '63% (n=12) of VR participants and 67% (n=12) of iPad participants reporting no fear.'], 'Immersion in the distraction environment': ['significantly higher (P=0.0318)', 'VR group (M=16.4, SD=5.4) compared with the control group (M=14.5, SD=5.4)']}"
34972191,"['prognostic signature capturing three biological functions-stromal, proliferative and immune', 'granzyme B (GZMB) expression had a significant prognostic impact']","['Clinical', 'Clinical']","{'prognostic signature capturing three biological functions-stromal, proliferative and immune': ['high expression of the signature genes was associated with poor prognosis', 'High expression of stromal genes (combining the two stromal clusters) was correlated with poor prognosis', 'High expression of immune genes was correlated with good prognosis', 'Expression of the proliferative genes was not significantly associated with DFS on its own', 'The AVANT signature was significantly more effective at predicting survival, and thus at identifying a high-risk subpopulation, than other prognostic signatures (Oncotype Dx, T-effector, CAF, F-TBRS) and the CMS subtypes, not only in AVANT as expected (S11 Fig), but more importantly in GSE39582, an independent dataset in which patients were not selected to be high-risk (Fig 1g, S3 Fig). The AVANT signature conferred significant additional prognostic value when combined with each of the previously published prognostic signatures we considered (Fig 1g, bottom table). In contrast, although the oncotype Dx score and CMS subtypes captured recurrence signal beyond what was captured by the AVANT signature, it was still a less significant improvement in RFS prediction compared to adding the AVANT signature to either oncotype Dx score or CMS subtype in both the GSE39582 and AVANT datasets (Fig 1g and S11 Fig). None of the other signatures captured significant additional recurrence signal when combined with the AVANT signature. This suggests that the AVANT signature incorporates the primary drivers of prognosis, and that other signatures offer no or limited additional prognostic value.', 'Concurrent high expression of GZMB and the proliferative gene set was associated with the best prognosis in AVANT', 'high expression of the stromal gene set with low GZMB had the poorest prognosis in AVANT', 'tumors with concurrent high stromal and high GZMB expression were associated with better outcome'], 'granzyme B (GZMB) expression had a significant prognostic impact': ['The association of immune gene expression with DFS was not only observed in MSI-H patients (HR = 0.31, p = 0.024), which more highly express the immune genes', 'In MSS patients, though to a lesser extent (HR = 0.74, p = 0.053)', 'high expression of GZMB was associated with good prognosis in both the AVANT and GSE39582 datasets', 'p = 4.1e-5 when adding GZMB expression to the stromal set', 'p = 1.4e-5 when adding GZMB expression to the proliferative set', 'is prognostic in CMS2 tumors with a low T-effector signature, in both AVANT and GSE39582', '1% of the pooled immune cells of the 12 CRC patients are CD16+ NK cells or pDCs', 'correlated well with T-effector and NK signatures in all cancers except CRC CMS2', 'primarily expressed in CMS2 cell lines', 'also observed in melanoma tumor cell lines across a broader cell line panel covering 12 cancer types']}"
34965881,"['SDM uptake', 'Secondary implementation outcomes', 'Patient experience of shared or patient-led decision-making', ""HCPs' knowledge about SDM"", 'Quality of psycho-social information in MDTMs']","['Life impact', 'Resource use', 'Life impact', 'Life impact', 'Life impact']","{'Secondary implementation outcomes': ['Return rates for analyzable patient surveys were 2128 of 4224 invited patients (50.4%); 559 of 1186 potential HCP surveys were returned and included in data analyses (47.1%); Return rate of analyzable audio recordings was 132 of 161 (82.0%)', '66 MDTMs with a total of 842 discussed cases were observed', '58% lower odds of including the patient’s view appropriately in the MDTM case discussion were found in the intervention condition compared to the control condition (P = .020, d = − 0.48; Table 5)', 'adaptations regarding different implementation strategies', 'most adaptations concerned dose and temporality'], 'SDM uptake': ['no statistically significant difference', 'observer-assessed uptake of SDM', '44% HCPs participated in SDM trainings'], 'Patient experience of shared or patient-led decision-making': ['patients in the intervention condition reported 55% higher odds of having had a shared or patient-led rather than a physician-led decision compared to the control condition (P = .017, d = 0.24; Table 5)'], ""HCPs' knowledge about SDM"": ['HCPs in the intervention condition reported statistically significantly higher self-assessed knowledge about SDM (estimated difference 1.58 points on a 0 to 10 visual analog scale, P = .002, d = 0.50; Table 4)', 'SDM team trainings for HCPs lasted on average 50 minutes instead of two hours as planned a priori', 'some coaching sessions took place without prior training of physicians']}"
34960058,"['Improvement in insulin resistance (HOMA-IR)', 'Changes in cancer-related serum biomarkers']","['Clinical', 'Clinical']","{'Improvement in insulin resistance (HOMA-IR)': ['notable improvements', 'nominally larger reductions']}"
34960013,"['lifestyle behaviors', '30-s chair stand and arm curl tests', '6-min walk and 2-min step tests', 'weight', 'fat and fruit and vegetable consumption', 'moderate-to-strenuous physical activity']","['Life impact', 'Clinical', 'Clinical', 'Clinical', 'Life impact', 'Life impact']","{'fat and fruit and vegetable consumption': ['consumed less energy from fat', 'significantly higher F&V consumption', 'significantly reduced consumption of total fat and saturated fat (CB condition)', 'no significant changes in total fat, saturated fat, or F&V consumption (SO condition)'], 'lifestyle behaviors': ['attended 94% of sessions with no significant differences between study conditions', 'Survivors in the SO condition attended an average of 97% of sessions, survivors in the CB condition attended an average of 92%', '83% of CB survivors would recommend the program to other cancer survivors', '17% of CB survivors would not recommend the program to other cancer survivors', '67% of SO survivors would recommend the program to other cancer survivors', ""33% of SO survivors responded 'Maybe' regarding recommending the program to other cancer survivors"", '100% of spouses from the CB group would recommend the program to other cancer survivors', ""'Maybe' response from 1 spouse in the SO group regarding recommending the program to other cancer survivors"", 'no intervention-related adverse events', 'self-reported and accelerometer-based physical activity', 'physical functioning', 'no significant changes'], 'moderate-to-strenuous physical activity': ['no significant differences', 'significantly higher at 6 months compared to baseline for spouses randomized to the CB condition', 'p = 0.02'], '6-min walk and 2-min step tests': ['significant improvement in both the 6-min walk test and the 2-min step test at 6 months for survivors randomized to the CB condition; no significant change in these measures for survivors randomized to the SO condition'], 'weight': ['significant weight loss'], '30-s chair stand and arm curl tests': ['p = 0.04']}"
34956561,"['total effective rate', 'total incidence of adverse reactions', 'levels of serum tumor markers', 'average CFS score', 'average KPS score']","['Clinical', 'Adverse Event', 'Clinical', 'Clinical', 'Clinical']","{'total effective rate': ['remarkably higher in the CTG than in the STG (P < 0.05)'], 'levels of serum tumor markers': ['obviously lower', 'P < 0.001'], 'average CFS score': ['obviously lower', 'P < 0.001'], 'average KPS score': ['markedly higher in the CTG than in the STG (P < 0.001)'], 'total incidence of adverse reactions': ['lower in CTG than STG (P < 0.05)']}"
34955446,"['Overall Treatment Utility (OTU)', 'progression-free survival', 'overall survival']","['Life impact', 'Mortality', 'Mortality']","{'Overall Treatment Utility (OTU)': ['514 patients', 'median follow-up time was 12.6 months [IQR 11.9, 12.9]', 'adjusted odds ratios of 1.19 (1.06–1.33), 1.14 (1.02–1.27) and 0.91 (0.85–0.97) respectively'], 'progression-free survival': ['1.44 (1.06–1.95)'], 'overall survival': ['1.46 (1.06–2.01)']}"
34950221,"['Therapeutic efficacy', 'Immune function (CD3+, CD4+, and CD4+/CD8+)', 'Circulating mir (mir-29a, mir-145, and mir-92a)', 'Prognosis', 'Survival']","['Clinical', 'Clinical', 'Clinical', 'Clinical', 'Mortality']","{'Therapeutic efficacy': ['ORR: 60.42% (study group), 37.50% (control group)', 'DCR: 85.42% (study group), 66.67% (control group)'], 'Immune function (CD3+, CD4+, and CD4+/CD8+)': ['P < 0.05', 'higher levels in study group compared to control group after 1, 2, and 3 cycles of treatment'], 'Circulating mir (mir-29a, mir-145, and mir-92a)': ['P < 0.05', 'significantly lower in study group than control group after 1, 2, and 3 cycles of treatment'], 'Survival': ['higher in study group compared to control group', 'average survival time: not specified', 'log rank test showed statistically significant difference (χ2 = 5.151, P = 0.023)']}"
34943854,"['Immunologic reactivity pattern', 'immune cell profile', 'Presence of mixed cellular and humoral immune response', 'CD3+', 'CD4+', 'NK cell', 'activated CTLs', 'Fas ligand+', 'granzyme+', 'perforin+']","['Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical']","{'CD3+': ['significantly expanded', 'p < 0.001'], 'CD4+': ['appeared among secondary lymphoid follicles', 'p < 0.001', 'ratio to CD8+ in HIFU group: 3.51 ± 1.49'], 'immune cell profile': ['CD3+: p < 0.001', 'CD4+: p < 0.001', 'CD57+: p = 0.001'], 'Fas ligand+': ['FasL+, GzB+ and Pf+ T cells were mainly present in the paracortical area (Figure 3). They also appeared in a dispersed distribution around tumor cells in the metastasis-positive ALNs.', 'significantly higher in the HIFU group', 'p < 0.001'], 'granzyme+': ['FasL+, GzB+ and Pf+ T cells were mainly present in the paracortical area (Figure 3). They also appeared in a dispersed distribution around tumor cells in the metastasis-positive ALNs.', 'significantly higher in the HIFU group', 'p < 0.005'], 'perforin+': ['FasL+, GzB+ and Pf+ T cells were mainly present in the paracortical area (Figure 3). They also appeared in a dispersed distribution around tumor cells in the metastasis-positive ALNs.', 'significantly higher in the HIFU group', 'p < 0.001'], 'activated CTLs': ['FasL+, GzB+, Pf+']}"
34940066,"['Change in LVEF from baseline', 'Delays in or discontinuation of trastuzumab therapy', 'Cardiology referral']","['Clinical', 'Adverse Event', 'Clinical']","{'Change in LVEF from baseline': ['medians: 65% [IQR 60–68] vs. 64% [IQR 61–67]', '−8% (for 3-monthly arm)', '−6% (for 4-monthly arm)', '95% CI for mean change: −0.6 [IQR −2.5, 1.2]', 'mean (SD) at week 48: 60.7 (6.2) for Q3-monthly arm, 60.3 (7.0) for Q4-monthly arm', 'mean (SD) change from baseline: −7.5% (6.2%) for Q3-monthly arm, −6.8% (6.9) for Q4-monthly arm', '95% CI: 4.3 (-7.2, 15.9)', 'two-sided 95% CI: 4.0 (-5.9, 13.8)', 'mean decrease greater amongst patients receiving anthracycline-based chemotherapy (mean −6.5%, SD = 6.3%) compared to non-anthracycline-based chemotherapy (mean −4.4%, SD = 6.4%); estimate = −1.52; 95% CI = −2.52 to −0.52'], 'Delays in or discontinuation of trastuzumab therapy': ['14.3% vs. 10.3%, difference of 4.0% (95% CI = −5.2 to 13.2%)'], 'Cardiology referral': ['12.2% vs. 12.4%']}"
34939432,"['cancer-specific survival (CSS)', 'risk stratification']","['Mortality', 'None']","{'cancer-specific survival (CSS)': ['3-year: 58.1%, 5-year: 49.9%, 8-year: 42.4%', 'age', 'marital status', 'T stage', 'N stage', 'M stage', 'POAT', '5-year CSS for high-risk patients: 27.6% (training) and 24.7% (validation); significantly lower than intermediate-risk (55.4% and 50.7%, P < 0.001) and low-risk (67% and 70.8%, P < 0.001)'], 'risk stratification': ['Patients divided into low-risk, intermediate-risk, and high-risk groups according to tertiles in the training cohort', 'Nomogram used for prognostic risk stratification; AJCC stage unsatisfactory in stratifying patients among stage I–III', 'Decision curve analysis showed net benefits of nomogram greater than those of AJCC staging']}"
34939373,"['Tumor response', 'Progression-free survival (PFS)', 'Overall survival (OS)']","['Clinical', 'Mortality', 'Mortality']","{'Tumor response': ['CR: 0, PR: 1, SD: 11 in anlotinib; CR: 0, PR: 0, SD: 1 in placebo', 'ORR: 3.7% (anlotinib), 0% (placebo)', 'DCR: 44.4% (anlotinib), 8.3% (placebo)'], 'Progression-free survival (PFS)': ['1.51 vs. 0.71 months; HR = 0.365, 95% CI: 0.17–0.78; p = 0.0064'], 'Overall survival (OS)': ['3.29 vs. 1.91 months; HR = 0.51, 95% CI: 0.22–1.16; p = 0.0996']}"
34938354,"['Quality of life', 'HAMA score', 'HAMD score', 'VAS score', 'Treatment effect', 'Serum calcium level', 'KPS score', 'Inflammatory factor levels', 'Immune function']","['Life impact', 'Life impact', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical']","{'Treatment effect': ['survival quality increased', 'P < 0.05', 'statistically significant differences between two groups (P < 0.05)', 'significant difference (P 0.05)'], 'Quality of life': ['increased more significantly in functional status, physiological condition, emotional state'], 'HAMA score': ['decreased significantly'], 'HAMD score': ['decreased significantly'], 'VAS score': ['Decreased significantly, P < 0.05'], 'Serum calcium level': ['dropped dramatically'], 'KPS score': ['rose significantly'], 'Inflammatory factor levels': ['significantly reduced', 'more obvious (P < 0.05)'], 'Immune function': ['significantly higher', 'statistically significant (P < 0.05)']}"
34938292,"['primary endpoint: pathological complete response (pCR) rate', 'secondary endpoint: safety and disease-free survival']","['Clinical', 'Adverse Event']","{'primary endpoint: pathological complete response (pCR) rate': ['Two of the six patients with PD-L1 CPS ≤1 in the experimental group achieved pCR, while none of the six patients with PD-L1 CPS ≤1 in the control group achieved pCR.']}"
34935999,"['Rocuronium consumption', 'Visual analog scale scores', 'Time to ambulation', 'Consumption of ketorolac tromethamine', 'Time to oral intake', 'Hospital stay after operation']","['Resource use', 'Clinical', 'Clinical', 'None', 'Clinical', 'Resource use']","{'Rocuronium consumption': ['82.80 ± 21.70 mg', 'P < 0.05'], 'Visual analog scale scores': ['VAS scores at 2, 6, and 24 h after surgery in the E group were lower than those in group C (Fbetween = 34.034, P = 0.000)'], 'Consumption of ketorolac tromethamine': ['analgesia remediation consumption of ketorolac tromethamine, meal time after surgery and hospital stay in the E group were significantly lower than those in the C group (P < 0.05)']}"
34932140,"['IPSS at 6 months', 'ICS voiding symptoms and urinary incontinence at 3 months', 'SESCI managing symptoms domain at 3 months']","['Clinical', 'Clinical', 'Clinical']","{'IPSS at 6 months': ['51% (70/137) continued to have moderate/severe urinary symptoms (IPSS score ≥ 8) at 12 to 24 weeks post-treatment', 'not significant', 'did not differ significantly between the groups'], 'SESCI managing symptoms domain at 3 months': ['improved by 11.0 points (95% CI: 3.2 to 18.9) in the SMaRT group and decreased by − 5.9 points (− 14.7 to 2.9) in the care-as-usual group, a significant adjusted difference of 13.9 points (2.5 to 24.4) favouring the SMaRT group (p = 0.017)']}"
34930617,['Progression-free survival (PFS)'],['Mortality'],"{'Progression-free survival (PFS)': ['median 20.5 versus 15.7 months', 'hazard ratio 0.77 (95% CI 0.66–0.89)', 'in patients with BRCAwt: median 18.0 vs 12.9 months; hazard ratio 0.70 [95% CI 0.59, 0.84]', 'in HRP cancers: median 15.1 vs 11.8 months; hazard ratio 0.64 [95% CI 0.50–0.81]', 'in HRD excluding BRCAm: median 20.9 vs 17.2 months; hazard ratio 0.77 [95% CI 0.58–1.02]', 'in HRD including BRCAm: median 24.2 vs 20.7 months; hazard ratio 0.87 [95% CI 0.70, 1.08]', 'similar in the BRCAm subgroup (median 28.2 vs 26.0 months; hazard ratio 1.05 [95% CI 0.75–1.46])', 'outside Japan: DD paclitaxel median 20.4 months, Q3W subgroup median 15.4 months; hazard ratio 0.76 [95% CI 0.65–0.89]', 'Japan: DD (n = 24) vs Q3W (n = 53); hazard ratio 0.69; 95% CI 0.33–1.42; median 23.4 vs 20.6 months', 'DD: median 24.2 vs 18.3 months; hazard ratio 0.67 [95% CI 0.51–0.88]', 'Q3W: median 19.3 vs 14.6 months; hazard ratio 0.69 [95% CI 0.52–0.91]']}"
34928708,"['health-related quality of life (HRQL)', 'fatigue', 'physical function', 'cognitive function', 'overall health and quality of life (OHQL)', 'deterioration-free survival']","['Life impact', 'Clinical', 'Life impact', 'Life impact', 'Life impact', 'Mortality']","{'health-related quality of life (HRQL)': ['93% at 4 weeks', '86% at 156 weeks', 'overall means 72 v 73, difference 1.2, 95% CI, 0.2 to 2.7; P = .10', 'less than 10 points', 'all P > .14', 'all P > .5'], 'overall health and quality of life (OHQL)': ['overall means 72 v 73, difference 1.2, 95% CI, 0.2 to 2.7; P = .10', '1.3%, 95% CI, −4 to 7', '31% v 17%; P < .001'], 'fatigue': ['95% CI, 3.6 to 6.9; P < .001', 'difference 13%, 95% CI, 7 to 20'], 'physical function': ['6%, 95% CI, 1 to 12', '31% v 22%; P = .0013'], 'cognitive function': ['9%, 95% CI, 3 to 15', '31% v 20%; P < .001'], 'deterioration-free survival': ['31% v 22%; P = .0013', 'all P > .06']}"
